datetime,price
2024-05-16 13:26:00,529.89
2024-05-16 13:27:00,529.88
2024-05-16 13:28:00,529.95
2024-05-16 13:29:00,529.87
2024-05-16 13:30:00,530.12
2024-05-16 13:31:00,530.13
2024-05-16 13:32:00,530.06
2024-05-16 13:33:00,530.09
2024-05-16 13:34:00,530.1
2024-05-16 13:35:00,530.0799
2024-05-16 13:36:00,530.13
2024-05-16 13:37:00,530.185
2024-05-16 13:38:00,530.27
2024-05-16 13:39:00,530.25
2024-05-16 13:40:00,530.0799
2024-05-16 13:41:00,530.11
2024-05-16 13:42:00,530.16
2024-05-16 13:43:00,530.0
2024-05-16 13:44:00,530.0275
2024-05-16 13:45:00,530.09
2024-05-16 13:46:00,530.08
2024-05-16 13:47:00,530.15
2024-05-16 13:48:00,530.16
2024-05-16 13:49:00,530.18
2024-05-16 13:50:00,530.24
2024-05-16 13:51:00,530.18
2024-05-16 13:52:00,530.245
2024-05-16 13:53:00,530.2199
2024-05-16 13:54:00,530.21
2024-05-16 13:55:00,530.22
2024-05-16 13:56:00,530.18
2024-05-16 13:57:00,530.08
2024-05-16 13:58:00,530.1703
2024-05-16 13:59:00,530.22
2024-05-16 14:00:00,530.22
2024-05-16 14:01:00,530.16
2024-05-16 14:02:00,530.17
2024-05-16 14:03:00,530.16
2024-05-16 14:04:00,530.11
2024-05-16 14:05:00,530.14
2024-05-16 14:06:00,529.965
2024-05-16 14:07:00,529.69
2024-05-16 14:08:00,529.96
2024-05-16 14:09:00,530.0688
2024-05-16 14:10:00,530.17
2024-05-16 14:11:00,530.19
2024-05-16 14:12:00,530.3637
2024-05-16 14:13:00,530.435
2024-05-16 14:14:00,530.35
2024-05-16 14:15:00,530.46
2024-05-16 14:16:00,530.43
2024-05-16 14:17:00,530.46
2024-05-16 14:18:00,530.5115
2024-05-16 14:19:00,530.5801
2024-05-16 14:20:00,530.52
2024-05-16 14:21:00,530.69
2024-05-16 14:22:00,530.7
2024-05-16 14:23:00,530.7127
2024-05-16 14:24:00,530.72
2024-05-16 14:25:00,530.72
2024-05-16 14:26:00,530.7
2024-05-16 14:27:00,530.675
2024-05-16 14:28:00,530.69
2024-05-16 14:29:00,530.63
2024-05-16 14:30:00,530.715
2024-05-16 14:31:00,530.695
2024-05-16 14:32:00,530.6401
2024-05-16 14:33:00,530.6285
2024-05-16 14:34:00,530.5603
2024-05-16 14:35:00,530.63
2024-05-16 14:36:00,530.66
2024-05-16 14:37:00,530.74
2024-05-16 14:38:00,530.62
2024-05-16 14:39:00,530.62
2024-05-16 14:40:00,530.615
2024-05-16 14:41:00,530.71
2024-05-16 14:42:00,530.73
2024-05-16 14:43:00,530.82
2024-05-16 14:44:00,530.909
2024-05-16 14:45:00,530.93
2024-05-16 14:46:00,530.93
2024-05-16 14:47:00,530.955
2024-05-16 14:48:00,530.9788
2024-05-16 14:49:00,530.92
2024-05-16 14:50:00,530.8912
2024-05-16 14:51:00,530.9399
2024-05-16 14:52:00,530.89
2024-05-16 14:53:00,530.985
2024-05-16 14:54:00,531.08
2024-05-16 14:55:00,531.12
2024-05-16 14:56:00,531.12
2024-05-16 14:57:00,531.25
2024-05-16 14:58:00,531.42
2024-05-16 14:59:00,531.375
2024-05-16 15:00:00,531.475
2024-05-16 15:01:00,531.36
2024-05-16 15:02:00,531.29
2024-05-16 15:03:00,531.42
2024-05-16 15:04:00,531.38
2024-05-16 15:05:00,531.26
2024-05-16 15:06:00,531.2701
2024-05-16 15:07:00,531.3015
2024-05-16 15:08:00,531.4301
2024-05-16 15:09:00,531.35
2024-05-16 15:10:00,531.24
2024-05-16 15:11:00,531.1388
2024-05-16 15:12:00,531.045
2024-05-16 15:13:00,530.73
2024-05-16 15:14:00,530.78
2024-05-16 15:15:00,530.71
2024-05-16 15:16:00,530.63
2024-05-16 15:17:00,530.6
